a1;a2;a3;a4;a5;sum
-0.02522899;0.04791688;0.0306467;-0.02599321;-0.02734139;0.15712717
0.02648848;0.0368145;0.01626339;-0.03883437;-0.04073201;0.15913275
-0.02407268;0.04939906;-0.03468522;-0.02086423;0.03022307;0.15924426
0.02730352;0.03347188;-0.03544995;0.01971866;-0.0450441;0.16098811
0.02698608;0.03979054;-0.03977223;0.01378307;-0.04078746;0.16111938
-0.04378055;0.03111765;0.02729306;0.02217836;-0.03680851;0.16117813
-0.02511044;0.04211545;-0.02534844;-0.03025231;0.03859575;0.16142239
-0.02180251;0.05139175;-0.03550144;0.02995267;-0.02404047;0.16268884
-0.02126682;0.05551416;-0.02718943;-0.03308379;0.02602588;0.16308008
-0.03640521;0.04471474;0.02038687;-0.04528734;0.01659093;0.16338509
0.02101751;0.03780225;-0.0393502;-0.04240562;0.02293606;0.16351164
0.03729917;0.04446154;-0.02730765;-0.03032052;-0.02413254;0.16352142
0.01927314;0.03475897;0.02827981;-0.0428268;-0.03948512;0.16462384
0.03421759;0.04820737;-0.03142214;-0.02773149;-0.02327133;0.16484992
-0.02641838;0.05860755;-0.02506343;0.02414538;-0.03127112;0.16550586
0.03877084;0.044081;-0.0257975;-0.02841969;-0.02863466;0.16570369
-0.02706245;0.0478902;0.0354591;-0.02900088;-0.02728597;0.1666986
